NAME,CODE
York,YRK
Northallerton,NTR
Darlington,DAR
Durham,DHM
Newcastle,NCL
Sunderland,SUN
Morpeth,MPT
Alnmouth,ALM
Berwick-upon-Tweed,BWK
Dunbar,DUN
Edinburgh Waverley,EDB
Haymarket,HYM
Motherwell,MTH
Glasgow Central,GLC
Inverkeithing,INK
Kirkcaldy,KDY
Leuchars,LEU
Dundee,DEE
Arbroath,ARB
Montrose,MTS
Stonehaven,STN
Aberdeen,ABD
Falkirk Grahamston,FKG
Stirling,STG
Gleneagles,GLE
Perth,PTH
Pitlochry,PIT
Kingussie,KIN
Aviemore,AVM
Inverness,INV
Selby,SBY
Brough,BUH
Hull,HUL
Doncaster,DON
Retford,RET
Lincoln,LCN
Newark North Gate,NNG
Grantham,GRA
Peterborough,PBO
Stevenage,SVG
London King's Cross,KGX
Harrogate,HGT
Horsforth,HRS
Leeds,LDS
Wakefield Westgate,WKF
Shipley,SHY
Bradford Forster Square,BDQ
Keighley,KEI
Skipton,SKI
